region,district,community,contractor,package_number,ht_contract,ht_planted,ht_dressed,ht_strung,lv_contract,lv_planted,lv_dressed,lv_strung,tx_contract,tx_dressed,tx_commissioned,cs_1ph,cs_3ph
AHAFO,ASUTIFI NORTH,Asorepannin,FAAH TECH ENG. COMPANY LIMTED,SHEP-4-AR-AND-AAECL-17-22,53,30,30,30,150,0,0,0,2,1,0,200,0
AHAFO,ASUTIFI NORTH,Gambia Obolo Village,FAAH TECH ENG. COMPANY LIMTED,SHEP-4-AR-AND-AAECL-17-24,30,30,30,30,90,0,0,0,2,1,0,200,0
AHAFO,ASUTIFI NORTH,Issakakrom,FAAH TECH ENG. COMPANY LIMTED,SHEP-4-AR-AND-AAECL-17-21,34,25,25,25,150,0,0,0,2,1,0,150,0
AHAFO,ASUTIFI NORTH,Methodist Techincal School,NEDCO,SHEP-4-BAR-NEDCO-AND-TEMP-1,25,25,25,25,21,21,21,21,1,1,1,1,1
AHAFO,ASUTIFI NORTH,Nsanhokrom,FAAH TECH ENG. COMPANY LIMTED,SHEP-4-AR-AND-AAECL-17-25,36,36,36,36,100,0,0,0,2,1,0,200,0
AHAFO,ASUTIFI NORTH,Powbe,FAAH TECH ENG. COMPANY LIMTED,SHEP-4-AR-AND-AAECL-17-23,48,7,7,7,120,0,0,0,2,1,0,250,0
AHAFO,ASUTIFI NORTH,Solomon,APAM.A ENG COMPANY LTD,SHEP-4-AR-AND-AAECL-17-20,42,38,38,38,180,0,0,0,2,1,0,100,0
AHAFO,Ahafo Ano  South District,(Nsuta) Pokukrom,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,7,0,0,0,124,20,0,0,1,0,0,150,0
AHAFO,Ahafo Ano  South District,(Sabronum)Adekyem,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,17,0,0,0,185,0,0,0,1,0,0,300,0
AHAFO,Ahafo Ano  South District,Abofuo Road Ext.,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,14,0,0,0,135,0,0,0,1,0,0,150,0
AHAFO,Ahafo Ano  South District,Ahwiriwa Ext.,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,20,0,0,0,100,0,0,0,1,0,0,250,0
AHAFO,Ahafo Ano  South District,Akwadum Ext.,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,7,7,0,0,118,15,15,15,1,0,0,60,0
AHAFO,Ahafo Ano  South District,Akwatiakrom Ext.,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,5,0,0,0,60,0,0,0,1,0,0,300,0
AHAFO,Ahafo Ano  South District,Boaso Ext.,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,5,0,0,0,74,0,0,0,1,0,0,200,0
AHAFO,Ahafo Ano  South District,Boukrukruwa Ext.,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,2,0,0,0,64,0,0,0,1,0,0,100,0
AHAFO,Ahafo Ano  South District,Sabronum Ahenboboano,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,10,10,10,0,105,0,0,0,1,0,0,100,0
AHAFO,Ahafo Ano  South District,Sabronum Habitat Ext.,POWERBOARD COMPANY LTD,SHEP-4-AR-AASD-PCL-11-19,50,50,50,0,160,0,0,0,1,0,0,200,0
AHAFO,Asuafo South,Abesiwa,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,47,0,0,0,90,12,12,12,1,0,0,300,0
AHAFO,Asuafo South,Abetenwom,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,67,0,0,0,60,8,0,0,1,0,0,150,0
AHAFO,Asuafo South,Ahwia-Nkwanta,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,60,30,30,30,150,20,0,0,1,0,0,600,0
AHAFO,Asuafo South,Akwasi-Bengkrom,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,5,0,0,0,80,15,15,15,1,0,0,150,0
AHAFO,Asuafo South,Akyeamponkrom,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,5,0,0,0,30,17,17,17,1,0,0,120,0
AHAFO,Asuafo South,Anwiam Extension,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,19,0,0,0,165,25,25,0,1,0,0,300,0
AHAFO,Asuafo South,Atakorakrom,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,22,0,0,0,180,11,11,11,1,0,0,90,0
AHAFO,Asuafo South,Boadan,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,7,0,0,0,50,12,12,12,1,0,0,300,0
AHAFO,Asuafo South,Boakyekrom,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,30,30,30,30,100,20,20,20,1,0,0,200,0
AHAFO,Asuafo South,Dantano Kobeda Ext.,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,10,10,10,10,200,15,0,0,1,1,1,200,20
AHAFO,Asuafo South,Kokuom Tanoso Road Ext.,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,10,10,10,10,50,10,10,10,1,1,1,100,15
AHAFO,Asuafo South,Kumakwu/kumawu,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,28,0,0,0,100,20,20,20,1,0,0,200,0
AHAFO,Asuafo South,Kwaadoma,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,46,30,0,0,70,12,12,12,1,0,0,300,0
AHAFO,Asuafo South,Kwaaso,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,16,0,0,0,240,15,15,15,1,0,0,200,0
AHAFO,Asuafo South,Manpong,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,64,0,0,0,150,15,15,15,1,0,0,400,0
AHAFO,Asuafo South,Manponteng,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,36,0,0,0,100,17,17,17,1,0,0,300,0
AHAFO,Asuafo South,Nobeko Aburaso Ext,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,13,10,10,10,100,45,45,45,1,1,1,150,0
AHAFO,Asuafo South,Ntowkrom,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,22,0,0,0,50,12,12,12,1,0,0,100,0
AHAFO,Asuafo South,Obaa-Adwoa Ext,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,10,10,10,10,195,40,40,40,1,1,1,200,40
AHAFO,Asuafo South,Quarter Rubber,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,29,29,29,29,160,20,20,20,1,0,0,200,0
AHAFO,Asuafo South,Tadieso,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,41,0,0,0,50,7,0,0,1,0,0,400,0
AHAFO,Asuafo South,Tanoso Ext.,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,12,12,12,12,200,0,0,0,1,0,0,150,0
AHAFO,Asuafo South,Yankye Road Ext.,MANPOWER TRANSPORT & ENGINEERING SERVICES LTD,SHEP-4-AR-ASD-MTESL-09-19,14,14,14,14,30,50,50,50,1,0,0,150,0
