region,district,community,contractor,package_number,ht_contract,ht_planted,ht_dressed,ht_strung,lv_contract,lv_planted,lv_dressed,lv_strung,tx_contract,tx_dressed,tx_commissioned,cs_1ph,cs_3ph
Greater Accra,Ningo Prampram,Tsikpatsi/Mataheko,Saini Morrison Eng Ltd,S4-SP-NPD-SMEL-04-16,33,44,44,44,100,109,109,109,2,2,2,,
Greater Accra,Ningo Prampram,Minya,Saini Morrison Eng Ltd,S4-SP-NPD-SMEL-04-16,40,34,34,34,60,69,69,69,1,1,1,,
Greater Accra,Ningo Prampram,Buerko,Saini Morrison Eng Ltd,S4-SP-NPD-SMEL-04-16,25,24,22,22,70,70,70,70,1,1,1,,
Greater Accra,Ningo Prampram,Akuwaba,Saini Morrison Eng Ltd,S4-SP-NPD-SMEL-04-16,25,24,24,24,70,83,75,75,2,1,1,,
Greater Accra,Ningo Prampram,Vakpor,Saini Morrison Eng Ltd,S4-SP-NPD-SMEL-04-16,10,7,7,7,40,42,42,42,1,1,,,
Greater Accra,Ningo Prampram,Melagunya,FAZ Plax Ltd,SHEP-4-GAR-NPDA-FPL-10-16,53,50,50,49,60,55,36,36,1,1,,,
Greater Accra,Shai Osudoku,Dedenya,3-DAG Engineering Ltd,S4-SP-3DECL-SOD-11-16,46,49,47,28,150,61,40,40,1,,,,
Greater Accra,Shai Osudoku,Manya-Jorpanya,3-DAG Engineering Ltd,S4-SP-3DECL-SOD-11-16,5,6,6,,65,80,59,56,1,,,,
Greater Accra,Ga South,Heddy/Gbolo/Tudiza/     Ahiamadzor,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,24,24,24,9,70,,,,2,,,,
Greater Accra,Ga South,Sosi/Minyanu,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,28,43,42,42,65,,,,1,,,,
Greater Accra,Ga South,Adiembra/    Bokor/Gavor,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,1,,,,70,,,,1,,,,
Greater Accra,Ga South,Wawase/ Aabade New Site,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,9,9,9,,70,,,,1,,,,
Greater Accra,Ga South,Kwaku Antwi/Kpota,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,1,,,,60,,,,1,,,,
Greater Accra,Ga South,Awuku Klutse/Avukope,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,1,,,,35,,,,1,,,,
Greater Accra,Ga South,Okine/Mayigbor,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,11,14,14,,30,,,,1,,,,
Greater Accra,Ga South,Hobor,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,1,,,,70,,,,2,,,,
Greater Accra,Ga South,Konkonpe Area,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,30,15,15,,120,,,,1,,,,
Greater Accra,Ga South,Okpe,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,18,,,,60,,,,1,,,,
Greater Accra,Ga South,Kwame Yedu,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,5,,,,20,,,,1,,,,
Greater Accra,Ga South,Asuadza,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,6,,,,30,,,,1,,,,
Greater Accra,Ga South,Bittor,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,13,,,,30,,,,1,,,,
Greater Accra,Ga South,Singa,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,1,,,,30,,,,1,,,,
Greater Accra,Ga South,Tamese,Glory Lord Ghana Ltd,GAR/GSD/GLGL/09/16/01 & GAR/GSD/GLGL/09/16/02,11,,,,25,,,,1,,,,
Greater Accra,Ga South,Tebu No. 1,Faz Plax Ltd,GAR/GSD/FPL/09/16,19,17,17,17,130,80,5,5,1,1,1,173,
Greater Accra,Ga South,Tebu No. 2,Faz Plax Ltd,GAR/GSD/FPL/09/16,26,19,19,19,110,40,34,34,1,1,1,168,
Greater Accra,Ga South,Agbon,Faz Plax Ltd,GAR/GSD/FPL/09/16,36,42,42,25,60,40,4,4,1,1,1,207,
Greater Accra,Ga South,Congo/Horkope,Faz Plax Ltd,GAR/GSD/FPL/09/16,32,25,8,8,120,70,70,20,1,1,1,500,
Greater Accra,Ga South,Odonko/Adator,Faz Plax Ltd,GAR/GSD/FPL/09/16,14,18,18,18,65,74,64,64,1,1,1,228,
Greater Accra,Ga South,Omane,Faz Plax Ltd,GAR/GSD/FPL/09/16,14,,,,25,25,25,25,1,,,,
Greater Accra,Ga South,Bisiase/ Gadose,Faz Plax Ltd,GAR/GSD/FPL/09/16,1,3,3,3,26,28,28,,1,1,1,,
Greater Accra,Ga South,Honi Adaloma,Faz Plax Ltd,GAR/GSD/FPL/09/16,9,18,18,18,25,87,87,40,1,1,1,10,
Greater Accra,Ga South,Aboasa,Faz Plax Ltd,GAR/GSD/FPL/09/16,35,36,36,36,60,70,70,70,1,1,1,,
Greater Accra,Ga South,Degbordzi Kope,Faz Plax Ltd,GAR/GSD/FPL/09/16,18,18,18,28,70,79,79,79,1,1,1,,
Greater Accra,Ga South,Okortorbu,Faz Plax Ltd,GAR/GSD/FPL/09/16,26,14,18,18,39,49,49,49,1,1,1,,
Greater Accra,Ada,Sege,Pabico,,15,3,3,3,15,7,7,7,1,1,1,,
Greater Accra,Kpone Katamanso,New City # 1,Bosco Light Comp Ltd,SHEP-4-GAR-KKD-BLCL-07-19,15,13,13,13,100,36,36,36,1,1,1,,
Greater Accra,Kpone Katamanso,New City # 2,Bosco Light Comp Ltd,SHEP-4-GAR-KKD-BLCL-07-19,11,8,,,100,96,96,,,,,,
Greater Accra,Kpone Katamanso,New City # 3,Bosco Light Comp Ltd,SHEP-4-GAR-KKD-BLCL-07-19,7,5,5,5,80,86,86,86,1,1,1,,
